ingredient_id,name,data_origin,source
1,Lait écrémé reconstitué,real,Open Food Facts (parsed from ingredients_text)
2,sirop de glucose,real,Open Food Facts (parsed from ingredients_text)
3,huile de coco,real,Open Food Facts (parsed from ingredients_text)
4,sucre,real,Open Food Facts (parsed from ingredients_text)
5,protéines de lait,real,Open Food Facts (parsed from ingredients_text)
6,farine de blé,real,Open Food Facts (parsed from ingredients_text)
7,œufs,real,Open Food Facts (parsed from ingredients_text)
8,mascarpone 2,real,Open Food Facts (parsed from ingredients_text)
9,alcool,real,Open Food Facts (parsed from ingredients_text)
10,jaune d'œufs,real,Open Food Facts (parsed from ingredients_text)
11,café soluble 0,real,Open Food Facts (parsed from ingredients_text)
12,amidon de blé,real,Open Food Facts (parsed from ingredients_text)
13,amidon,real,Open Food Facts (parsed from ingredients_text)
14,vin Marsala 0,real,Open Food Facts (parsed from ingredients_text)
15,cacao en poudre 0,real,Open Food Facts (parsed from ingredients_text)
16,dextrose,real,Open Food Facts (parsed from ingredients_text)
17,émulsifiant: esters lactiques des mono et diglycérides d'acides gras,real,Open Food Facts (parsed from ingredients_text)
18,cacao maigre en poudre,real,Open Food Facts (parsed from ingredients_text)
19,arômes,real,Open Food Facts (parsed from ingredients_text)
20,beurre de cacao,real,Open Food Facts (parsed from ingredients_text)
21,extrait de café,real,Open Food Facts (parsed from ingredients_text)
22,poudre à lever . Teneur en alcool: 1,real,Open Food Facts (parsed from ingredients_text)
23,Peut contenir du soja,real,Open Food Facts (parsed from ingredients_text)
24,des fruits à coque et de l'arachide,real,Open Food Facts (parsed from ingredients_text)
25,reconstituted skimmed milk,real,Open Food Facts (parsed from ingredients_text)
26,glucose syrup,real,Open Food Facts (parsed from ingredients_text)
27,mascarpone soft cheese,real,Open Food Facts (parsed from ingredients_text)
28,sponge fingers,real,Open Food Facts (parsed from ingredients_text)
29,coconut fat,real,Open Food Facts (parsed from ingredients_text)
30,sugar,real,Open Food Facts (parsed from ingredients_text)
31,cream,real,Open Food Facts (parsed from ingredients_text)
32,2,real,Open Food Facts (parsed from ingredients_text)
33,alcohol,real,Open Food Facts (parsed from ingredients_text)
34,egg,real,Open Food Facts (parsed from ingredients_text)
35,cocoa dusting,real,Open Food Facts (parsed from ingredients_text)
36,marsala p,real,Open Food Facts (parsed from ingredients_text)
37,d,real,Open Food Facts (parsed from ingredients_text)
38,o,real,Open Food Facts (parsed from ingredients_text)
39,wine,real,Open Food Facts (parsed from ingredients_text)
40,soluble coffee,real,Open Food Facts (parsed from ingredients_text)
41,milk protein,real,Open Food Facts (parsed from ingredients_text)
42,stabiliser: sorbitols,real,Open Food Facts (parsed from ingredients_text)
