product_id,ingredient_id,position,raw_text
OFF-TIRA-0001,1,1,Lait écrémé reconstitué
OFF-TIRA-0001,2,2,sirop de glucose
OFF-TIRA-0001,3,3,huile de coco
OFF-TIRA-0001,4,4,sucre
OFF-TIRA-0001,5,5,protéines de lait
OFF-TIRA-0001,6,6,farine de blé
OFF-TIRA-0001,7,7,œufs
OFF-TIRA-0001,8,8,mascarpone 2
OFF-TIRA-0001,9,10,alcool
OFF-TIRA-0001,10,11,jaune d'œufs
OFF-TIRA-0001,11,13,café soluble 0
OFF-TIRA-0001,12,15,amidon de blé
OFF-TIRA-0001,13,16,amidon
OFF-TIRA-0001,14,17,vin Marsala 0
OFF-TIRA-0001,15,19,cacao en poudre 0
OFF-TIRA-0001,16,21,dextrose
OFF-TIRA-0001,17,22,émulsifiant: esters lactiques des mono et diglycérides d'acides gras
OFF-TIRA-0001,18,23,cacao maigre en poudre
OFF-TIRA-0001,19,24,arômes
OFF-TIRA-0001,20,25,beurre de cacao
OFF-TIRA-0001,21,26,extrait de café
OFF-TIRA-0001,22,27,"poudre à lever (diphosphates, carbonates de sodium, farine de blé). Teneur en alcool: 1"
OFF-TIRA-0001,23,28,5%. Peut contenir du soja
OFF-TIRA-0001,24,29,des fruits à coque et de l'arachide.
OFF-TIRA-0002,25,1,reconstituted skimmed milk
OFF-TIRA-0002,26,2,glucose syrup
OFF-TIRA-0002,27,3,16% mascarpone soft cheese (milk) (contains acidity regulator: lactic acid)
OFF-TIRA-0002,28,4,"10% sponge fingers (wheat flour, egg, sugar, milk protein, raising agents: diphosphates, sodium carbonates)"
OFF-TIRA-0002,29,5,coconut fat
OFF-TIRA-0002,30,6,sugar
OFF-TIRA-0002,31,7,cream (milk)
OFF-TIRA-0002,32,8,2
OFF-TIRA-0002,33,9,5% alcohol
OFF-TIRA-0002,34,10,egg
OFF-TIRA-0002,35,11,"1% cocoa dusting (46% cocoa, dextrose, wheat starch, sugar, cocoa butter)"
OFF-TIRA-0002,36,12,1% marsala p
OFF-TIRA-0002,37,13,d
OFF-TIRA-0002,38,14,o
OFF-TIRA-0002,39,15,wine
OFF-TIRA-0002,40,16,1% soluble coffee
OFF-TIRA-0002,41,17,milk protein
OFF-TIRA-0002,42,18,stabiliser: sorbitols
OFF-TIRA-0002,43,19,beef gelatine
OFF-TIRA-0002,44,20,tapioca starch
OFF-TIRA-0002,45,21,thickeners: sodium alginate
OFF-TIRA-0002,46,22,locust bean gum
OFF-TIRA-0002,47,23,emulsifier: lactic acid esters of mono - and diglycerides of fatty acids
OFF-TIRA-0002,48,24,natural flavouring
OFF-TIRA-0003,49,1,Mascarpone
OFF-TIRA-0003,50,2,blancs d'œufs
OFF-TIRA-0003,4,3,sucre
OFF-TIRA-0003,51,4,biscuit aux œufs 12
OFF-TIRA-0003,52,6,crème fraiche épaisse Paysan Breton
OFF-TIRA-0003,53,7,sirop de café 0
OFF-TIRA-0003,54,9,"sirop de vanille (eau, sucre, extrait de vanille)"
OFF-TIRA-0003,15,10,cacao en poudre 0
OFF-TIRA-0004,55,1,_Crème_*
