sku,product_id,size,weight,weight_unit,servings,price,price_currency,price_data_origin
MOU-01-S,LC-REC-0001,S - 12cm (2-3 người),400,g,2-3 người,190000,VND,synthetic
MOU-01-M,LC-REC-0001,M - 14cm (3-4 người),550,g,3-4 người,220000,VND,synthetic
MOU-01-L,LC-REC-0001,L - 18cm (6-8 người),900,g,6-8 người,340000,VND,synthetic
MOU-02-S,LC-REC-0002,S - 12cm (2-3 người),400,g,2-3 người,190000,VND,synthetic
MOU-02-M,LC-REC-0002,M - 14cm (3-4 người),550,g,3-4 người,220000,VND,synthetic
MOU-02-L,LC-REC-0002,L - 18cm (6-8 người),900,g,6-8 người,340000,VND,synthetic
MOU-03-S,LC-REC-0003,S - 12cm (2-3 người),400,g,2-3 người,190000,VND,synthetic
MOU-03-M,LC-REC-0003,M - 14cm (3-4 người),550,g,3-4 người,220000,VND,synthetic
MOU-03-L,LC-REC-0003,L - 18cm (6-8 người),900,g,6-8 người,340000,VND,synthetic
MOU-04-S,LC-REC-0004,S - 12cm (2-3 người),400,g,2-3 người,190000,VND,synthetic
MOU-04-M,LC-REC-0004,M - 14cm (3-4 người),550,g,3-4 người,220000,VND,synthetic
MOU-04-L,LC-REC-0004,L - 18cm (6-8 người),900,g,6-8 người,340000,VND,synthetic
MOU-05-S,LC-REC-0005,S - 12cm (2-3 người),400,g,2-3 người,190000,VND,synthetic
MOU-05-M,LC-REC-0005,M - 14cm (3-4 người),550,g,3-4 người,220000,VND,synthetic
MOU-05-L,LC-REC-0005,L - 18cm (6-8 người),900,g,6-8 người,340000,VND,synthetic
TIRA-06-S,LC-REC-0006,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
TIRA-06-M,LC-REC-0006,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
TIRA-06-L,LC-REC-0006,L - 18cm (6-8 người),900,g,6-8 người,310000,VND,synthetic
TIRA-07-S,LC-REC-0007,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
TIRA-07-M,LC-REC-0007,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
TIRA-07-L,LC-REC-0007,L - 18cm (6-8 người),900,g,6-8 người,310000,VND,synthetic
TIRA-08-S,LC-REC-0008,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
TIRA-08-M,LC-REC-0008,M - 14cm (3-4 người),550,g,3-4 người,200000,VND,synthetic
TIRA-08-L,LC-REC-0008,L - 18cm (6-8 người),900,g,6-8 người,310000,VND,synthetic
TIRA-09-S,LC-REC-0009,S - 12cm (2-3 người),400,g,2-3 người,170000,VND,synthetic
